word, freq
소원, 2
인의, 2
관중, 2
인은, 2
112, 1
가입, 2
관여, 2
113, 1
인용, 1
114, 1
공정, 1
위원장, 1
호선, 1
원의, 1
법령, 3
급, 2
115, 1
선거인, 1
명부, 1
작성, 1
지시, 2
당, 1
116, 1
관리하, 1
시키, 1
117, 1
주민, 1
종류, 1
118, 1
의회, 2
선임, 4
119, 1
기업, 2
창의, 1
존중, 1
균형, 5
성장, 1
안정, 2
소득, 1
분배, 1
시장, 1
지배, 1
경제력, 1
방지, 1
주체, 1
민주화, 1
규제, 2
120, 1
광물, 1
지하, 1
자원, 3
수산, 1
수력, 1
이용, 5
자연력, 1
일정, 1
채취, 1
특허, 1
121, 1
농지, 4
경자, 1
유전, 1
달성, 2
소작, 1
금지, 1
농업, 2
생산성, 1
제고, 1
합리, 1
불가피, 1
사정, 1
임대차, 1
위탁, 1
경영, 2
122, 1
모두, 1
생산, 1
기반, 1
효율적, 1
과하, 1
123, 1
어업, 1
육성, 5
농, 3
어촌, 1
종합, 1
지원, 1
지역, 2
중소기업, 2
농수산물, 1
수급, 1
유통, 1
개선, 1
가격, 1
도모, 1
어민, 2
자조, 1
124, 1
건전, 1
소비, 1
계도, 1
생산품, 1
품질, 1
촉구, 1
소비자, 1
125, 1
무역, 1
126, 1
국방상, 1
길, 1
사영, 1
공유, 1
통제, 1
127, 1
기술, 1
혁신, 1
정보, 1
인력, 1
표준, 1
확립, 1
기구, 1
128, 1
제안, 3
연장, 1
당시, 6
129, 1
공고, 2
130, 1
투표자, 1
펴, 1
침, 1
부칙, 2
<, 1
호, 1
1987.10, 1
>, 1
보기, 1
1988, 1
준비, 1
최초, 7
일로, 3
전일, 2
임원, 1
임명권, 1
전임자, 1
판사, 1
단서, 1
불구하, 1
적용, 1
지속, 1
새로, 1
새롭, 1
존속, 1
