no,movie,content,rate
14334649,앤트맨과 와스프,재밌게 봤습니다.  다음에 나올 어벤져스가 기다려지네요,9
14334648,아수라,사람들이 그렇게 혹평을 하길래 봤는데 나는 정말 인상적이었다. 그런데 이렇게 진가를 재확인 받는 시간이 와서 감개무량하다.,10
14334647,변산,"매력적인 두 배우, 김고은과 박정민의 케미가 돋보였습니다",8
14334646,신은 죽지 않았다 3: 어둠 속의 빛,종교와상관없이 공감~,9
14334645,인크레더블 2,아주아주 좋았습니다아아아앙,10
14334644,박화영,"보지 않았으니 8점드립니다. 이런 영화를 청소년이 봐야할텐데청불이라니 어의가 없습니다. 독전, 마녀는 15세인데 청불이라니.. 어이가 상실하고 내용이 어떤지 모르지만 아쉽습니다.",8
14334643,아수라,안남 성남 건달 이재명 호가 안남 이재명 인가 ㅋㅋㅋ,10
14334642,인크레더블 2,"유년시절 신기해하며 보던 추억을 회상하며 청년이 된 지금 또 다른 흥미를 주는 영화, 즐감했습니다~",10
14334641,독전,구성이 탄탄하지 못해 어색하고 전달력이 떨어진다,4
14334640,튼튼이의 모험,너무 제취향입니다..,10
14334639,앤트맨과 와스프,잼남정신없이보다시간가는줄몰랏음,10
14334638,스카이스크래퍼,짱재밋다..보는내내 감탄함,10
14334637,다시 태어나도 우리,린포체와 그쪽 세계관?을 몰라서 조금 지루했다. 중간중간 나오는 풍경과 애기들을 웃음짓게 한다.,6
14334636,아수라,개띵작이였네ㅋㅋ시ㅡㅋ,10
14334635,마녀,처음보는 배우였는데 연기가 너무 좋았습니다.,10
14334634,"오늘 밤, 로맨스 극장에서",일본 특유의 감성으로 풀어낸 판타지 로맨스 였습니다. 관람하는 내내 영화의 감동이 수채화처럼 마음에 스며들었습니다.,10
14334633,탐정: 리턴즈,생각보다 더 재밌었네요~ 이광수ㅠㅠ 너무 웃겼어요ㅎㅎ,7
14334632,아수라,시대의 명작이었다. 우리는 잊어서는 안된다.,10
14334631,마녀,"처음에 배우들 연기 너무 몰입안ㅤㄷㅚㅆ는데, 김다미 연기에 몰입 팍.. 기대 이상이에요 짱짱",10
14334630,아수라,자동차 추격장면 자연스럽게 넘어가는 cg가 너무 인상적입니다.,10
14334629,마녀,반전영화 한번쯤 보는것두 재미있을거에여 제 취향은 저격 보고나서 판단 하세여,10
14334628,인크레더블 2,정말 너무 너무 재밌어요~^,10
14334627,마녀,연기 너무  잘해요.신인이라는게  믿기지 않을정도요,10
14334626,인크레더블 2,꿀잼! 향수병 돋고 재밌었으 ㅎㅎ,9
14334625,독전,반전에 반전... 조진웅 연기 정말 잘함 ㅠㅠ 김주혁도 ㅠㅜ,10
14334624,인크레더블 2,너무 재미있게 봤어요ㅡ굿!,10
14334623,마녀,괴물신인이 나타났다!!,10
14334622,서버비콘,시간가는 줄 몰랐어요!!의미있는 영화였고 여운있습니다.,10
14334621,좋아해줘,가벼운 옴니버스 영화.,5
14334620,마녀,냉장고에 잼을 놓고 만든 영화,1
14334619,아수라,이 제보니... 재 평가받아야할... 명 작이었구나...  사 실을바탕으로했나보네... 퇴 근후에다시봐야겠다...,10
14334618,블랙 팬서,영화보다가 중간에 잠..한국나올때 헛웃음 나옴,6
14334617,리틀 포레스트,힐링이 필요한 사람들에게 추천!,8
14334616,쥬라기 월드: 폴른 킹덤,큰 기대없이 봤는데 시간가는줄 모르고 봄,8
14334615,아수라,아... 누가 영화를 픽션이라 부르는가...,10
14334614,앤트맨과 와스프,쿠키영상 보고 멘붕옴....,8
14334613,아수라,김성수 감독님 안전하시죠?,10
14334611,인크레더블 2,추억팔이 좋았습니다. 물론 추억팔이를 넘어서라도 굉장히 재밌게봤던영화. 마지막 제작진나오는 크레딧의 연출을 보고 추억에 소름이 돋았습니다.,10
14334610,아이 필 프리티,"전달하고자하는 메세지는 알겠는데 그저 합리화로 보일 뿐, 어느 부분에서 관객들의 자존감을 이끌어 냈는지 도무지 알 수가 없다.",1
14334609,인크레더블 2,"1편과 비슷한듯 하지만 전혀 다릅니다. 구성도 그렇지만, 1에서 등장하지 않은 모든 캐릭터들은 몬스터&에일리언 풍의, 깔끔하게 애니메이션화 되지 않은 실망스런 모습입니다. 픽사작품이 맞나 의심스럽습니다",2
14334608,인크레더블 2,Good~~~~!!!!,10
14334607,서프러제트,캐리 멀리건의 연기만으로도 충분히 높게 평가받을 영화,10
14334606,앤트맨과 와스프,그냥 믿고 볼수 있는 마블 영화네요 ㅎㅎ,10
14334605,아수라,꽃이 지고서야 봄인줄 알았습니다..,10
14334604,아수라,이거평점 10점줘야되는거 아니에요?,10
14334603,마녀,대존잼 이게 한국 영화라고? 이 느낌 받음  못해도 800만 관객인 찍어야 ㅤㄷㅙㅁ,10
14334602,아수라,예의가 없는 영화 커트야커트,10
14334600,인크레더블 2,재밋게 ㅤㅂㅘㅅ어용))잭잭넘 귀여워요 ㅎㅎ,10
14334599,리틀 포레스트,힐링이 되는 영화~ 음식 색감도 좋고 ㅎ,9
14334598,아수라,실화 같아요. 저런 정치인들이 없어지길..,10
14334597,여중생A,이거 보다 울었습니다 수호 역시 완전 잘생겼어요?,10
14334596,인크레더블 2,아이들이너무좋아했어요. 중간중간간무섭다고하는데...둘이영화본얘기하며웃고떠드는데...잘보여준거같네요~~,10
14334595,아수라,안남시...ㄷㄷ 고증을 바탕으로한 영화였다니 ㄷㄷ 재개봉해야한다 이건,10
14334594,아수라,"재개봉 추진 바랍니다. 앞에 ""이 영화는 사실에 기반하여 제작되었습니다"" 도 넣어주시고요",10
14334592,인크레더블 2,역시 ㅤㅍㅣㄷ사라고 생각합니다. 속편인데도 너무 재밋엇고 다만 한가지 아쉬운게 있다면...스포여서 말을 못하지만 결말에 아주 쪼오옹금 아쉬ㅤㅇㅝㅅ지만 ...넘나 조앗어요...미스터 인크레더블♩ 파오♬파오♬파오♬ㅎㅎㅎ,8
14334591,인크레더블 2,도입부분 만두이야기가 더 재밌어요~,8
14334590,퀵,"코메디가 필요하긴 했지만, 전형적 한국영화식 쌈마이개그가 최선이었을까...",6
14334588,아수라,나름 재밌게 봤다 소름돋음,10
14334587,앤트맨과 와스프,개그가 너무 웃겼어요~,10
14334586,이별의 아침에 약속의 꽃을 장식하자,"같이 보자고 한 친구가 나에게 사과하게 만든 영화. 영화를 보고 느낀 건 쓰레기들과 불쌍한 마키아, 레일리아, 메드멜. 작화가 예쁜 것 말고 메리트가 없다. 정말 기대했는데 제목과 스포일러 작화에 속은 기분.",1
14334585,살인재능,남주 연기 죽이네요~ 표정연기 일품입니다.,8
14334584,오션스8,웃기고 신나는 영화  ㅋㅋㅋ,10
14334583,아수라,"사업권을 다 국영화해서 도로만들고, 땅사서 개척하고, 개발이익금을 국민들한테 돌려준 이시장이었는데경기도 지사되서 자금줄 압박을 받을 조폭과, 검은 큰손들이 어떻게든 공격하고있구만ㅋㅋ실망은 방송만 뜨면 개떼같이 달려드는 개,돼지들 생각좀하고 살자.",1
14334582,인크레더블 2,아이와 둘이 재미있게 봤습니다,10
14334581,아수라,성지순례왔습니다....,10
14334580,허스토리,이 영화는 재미 보다는 꼭 봐야 할 영화겠습니다. 위안부 할머니들 사과 받는 그날까지 꼭 힘써주세요.,10
14334579,아수라,그냥..아주 어두운 한국 느와르 입니다.하지만..여지껏 이렇게 극단적으로 밀어붙이는 느와르는 두고두고 언급될 겁니다.이 극단적 장치가 현실이라는 생각과 증거가 나올때 또다시 평가는 바뀌고 소름이 돋을 겁니다.,10
14334578,앤트맨과 와스프,나는 완전 재밌게 봤음 !!!,10
14334577,인크레더블 2,진짜 재미있었음ㅠㅠ 또 보고싶다,10
14334576,앤트맨과 와스프,ㅎㅎ나름 재밌어요 ㅎㅎㅎ,8
14334575,잊을 수 없는 순간,"국민학교때, ys 집권때였나. 반공 교육의 일환이었는지, 3년동안 이승복기념관으로 소풍가서 매년 이 영화를 봄. 입 찢는장면은 20년이 지난 지금까지도 트라우마로 남아있고, 덕분에 어린시절 밤마다 우리 집에도 공산당이 쳐들어오면 어쩌나 겁에 질렸음.",1
14334573,허리케인 하이스트,허리케인이 시원시원 했습니다,10
14334572,아수라,감독은 이미 알았다..,10
14334571,인크레더블 2,2도 재미있네요~~잭잭이 큰일해요~^^귀여워~~~,10
14334570,아수라,영화가 너무 논픽션이네요,10
14334568,인크레더블 2,잭잭이 엄청귀엽다! 1도 계속봐도 재밌는데 이것도 재밌습니다!,10
14334566,아수라,뒤늦게 다큐란걸 알고 내용을보고 명작이란걸 알았읍니다ㅠㅠㅠ,9
14334564,아수라,실화를 바탕으로 만든 영화였다니...,10
14334563,마녀,재밌습니다 ㄷㄷㄷ추천,10
14334562,인크레더블 2,시즌3도 나왔으면 좋겠다,10
14334561,인크레더블 2,인크레더블2를 보는 시간내내 나에겐 손에 꼽을 정도의 행복한 시간이었다.,10
14334560,마녀,액션이 짧은 아쉬움이 남았지만 파트2를 기대합니다 김다미 배우도 화이팅,10
14334559,월요일이 사라졌다,인구과잉시대의 인권을 주제로 삼고 있으면서 정작 영화속 인물들은 게임 캐릭터 목숨 다루듯 소비해버리다니...,4
14334557,인크레더블 2,잭ㅤㅈㅐㄷ  졸귀네여 여자ㅏ 영웅인  영호ㅏ 오랜만이라 좋앗어요 굳굳  많이들 보세여 ㅎ ㅎ ㅎ ㅎ,10
14334556,인크레더블 2,보다보면 뻔히 보이는 내용이지만 지루하지않게 잘 본거같아요~^^,8
14334555,아수라,안봤지만 이거 알고 만든거임? 논픽션으로 보지말고 다큐로 보면 재밌을듯. OCN에서 재방송좀  해주라.,10
14334554,발레리안: 천 개 행성의 도시,우리는 통상 1시간 20분짜리에 맞춰져있다만.그게 다는 아니지.,10
14334553,아수라,"정우성 마지막 대사 ""조지나 뱅뱅이다 ㅆ발아"" '탕' 이거만 생각나네..",8
14334552,위대한 쇼맨,그냥 이 영화 너무 좋음....,10
14334551,아수라,이제야 깨달았습니다 실화라는것을,10
14334550,앤트맨과 와스프,씨쥐 떡칠 초딩영화 유치찬란,1
14334549,마녀,후속편 기대됩니다 최고,10
14334548,마녀,너무 사운드가 웅장하고 스릴도있고 너무좋아다.,8
14334547,인크레더블 2,정말 재밌게 봤어요!! 1편 이후 공백이 길기는 했지만 기다린 보람이 있는 영화!! ㅎㅎ 내용도 캐릭터도 모두 사랑스러웠음 잭잭아~♥,10
14334546,아수라,너무 비현실적이고  개연성도 없어서  욕했던 영화엿는데.. 극사실주의라니...,10
14334545,마녀,0점이 안되는구나 최악의 영화 탑3안에 들어갔슥니다,1
14334544,인크레더블 2,잭잭 완전 귀여워~~~,10
14334543,아수라,멋진영화입니다. 진짜 잼나요,10
14334542,독전,독전봤으면'독전: 익스텐디드 컷' 은 안보는걸로,6
14334541,인크레더블 2,잼있게 잘봤어요중간쯤 아이가 울었어요 ㅠ 싸우고하는장며이.무서웠다고,10
14334540,예감은 틀리지 않는다,당신은 당신의 삶을 얼마만큼 편집하는가?,8
14334539,앤트맨과 와스프,1편 믿고 봤는데 이번편은 실망이네요..,2
14334538,본 아이덴티티,맷데이먼 ㅤㅇㅙㄹ케 섹시할까 첩보 영화 최고,10
14334537,인크레더블 2,완전강추요 아이들 빠져듭니다,10
14334536,아수라,재평가 각이네 ㅋㅋㅋㅋ,10
14334534,인크레더블 2,딸이랑 잘 봤네요 ㅎㅎㅎ,8
14334533,인크레더블 2,재밌다아 체고로 재밌다아아아ㅏ,10
14334532,간기남,그냥 그런 한국영화. 박시연님 몸은 생각보다 더 좋음.,4
14334531,허스토리,말이 뭐가 필요하노 ㅈ그튼,10
14334530,아수라,영화는 현실을 비추는 거울.. 재평가 가즈아,10
14334529,마녀,반전과연기력이좋았습니다,10
14334528,아수라,성지순례 다녀 갑니다. 김성수감독님 감사합니다.,10
14334527,아수라,이제야 감독의 큰 뜻을 알겠네요,10
14334526,인크레더블 2,처음 만두사람이야기나와서 영화관잘못나온줄알았음 꿀잼임,10
14334525,인크레더블 2,아이와 즐겁게 관람하였습니다.잭잭 넘 귀여움요~,10
14334523,곤지암,10점은 개오바다 1시간가량 무서운장면1도 없고  그래도 목욕탕신은 그냥 그 분위기가 좀 무서운것같음  이상한 암호외우신 여자분보면서  스팀게임 두근두근문예부 생각났음  약간 연출도 그렇고 카메라기법도 그렇고  비슷해 근데  게임이 더 무서워 솔직히.,3
14334522,신은 죽지 않았다 3: 어둠 속의 빛,신비적이지도 않고 말씀을 토대로 잘 풀어낸 것 같아요  우리에게 필요한 메세지가 분명히 드러나서 좋내요,9
14334521,속닥속닥,왜 혹평만 ㅈㄴ놓지;  괜찮게 봤는데,10
14334520,아수라,이재명  흠 진짠가  지지철회합니다,8
14334519,라라랜드,내 인생영화 여운이 남네,10
14334518,인크레더블 2,보는 내내  빠져서 봤네요^^,8
14334517,아직 끝나지 않았다,사람의 인성은  길러지는 것에 비해 유전적인 요소가  강하여  결코  변하지 않는 것을 증명하듯 보여주는 영화,6
14334516,박쥐,아름다운 잔인함. 박찬욱 감독의 연출력 중 하나!,9
14334515,아수라,지금보니 황정민이 연기한  박성배와   누구랑 닮았네..,10
14334513,속닥속닥,이거 볼 시간에 잠이나 자는게 더 이득,2
14334512,인크레더블 2,2시간 애들 지루하지않게ㅤㅂㅘㅅ어용,10
14334511,마녀,너무재미있게 잘봤어요 다음영화가 기다려지네요,10
14334510,아수라,실화의 재구성 완벽합니다 2편 찍어주세요,10
14334509,아수라,이게 실사 영화라는게 웃기다 ㅋㅋㅋ,10
14334508,아수라,실화였더니 가장 완벽한 영화다,10
14334507,마녀,굿이였어요!  영화는 반전부터,10
14334506,아수라,이게 실화였다니...,10
14334505,신은 죽지 않았다 3: 어둠 속의 빛,역겨운 종교포르노. 비신자들을 설득하는용이 아닌 신자들이 자위하려고 만든 영화,1
14334504,아수라,"첫째, 영화관에서 볼 때 너무 잔인하고, 현실성 없는 폭력성이라 눈 살 찌푸렸다. 둘째, 그것이 알고싶다를 보니 아수라가 떠올랐다. 셋째, 그알 시청후 아수라를 보니 유주얼 서스펙트 같은 최고의 반전영화에서도 느껴보지 못했던 엄청난 소름이 돋았다.",10
14334503,다크 나이트,"액션에 눈이 멀고, 여운에 마음이 멀다",9
14334502,마녀,여주 연기가 돋보입니다.한국영화라고 할 수 없는 수준이 다른 격투액션.스토리나 개연성등은 첫편만 봐서 그런지 그다지 몰입감이 있진 않았어요.,8
14334501,노맨스랜드,각각의 장르마다 배우들의 특색있는캐릭터와 연기. 연출. 한국에선 볼수 없었던 새로운 장르의 장편영화.,10
14334500,조디악,집에서 컴터로 우연히 보다가 끝까지 보게 되었지ㅋㅋ 아직도 기억나는게 지하실이었던가 거기서 나는 온몸에 소름이 돋았지 데이빗의 스릴러 연출력은 아무나 흉내 못 낸다,10
14334499,아수라,여러분 이거 다~ 진짜인거 아시죠?,10
14334498,아수라,실화는 10점이야! 구속수사 가즈아?,10
14334497,콜 미 바이 유어 네임,사랑 그 순수함에 대하여,8
14334496,아수라,바보새키들 실화라고했음 천만이상찍었다,10
14334495,앤트맨과 와스프,토욜날 엄마랑 보러갔는데 엄마는 너무 만화같다고 안좋아하셨지만 마블팬인 난 잼있었음.2대 와스프랑 고스트 매력적이었고 중간중간 깨알개그들이 웃겼음ㅋㅋㅋ(학교씬이랑 갈매기씬들ㅋㅋㅋ),10
14334494,아수라,어쩐지 너무 저나라하더라니 ...  실화의 재구성이였군요.,10
14334493,아수라,애초에 실화라고 말해주지. 몰라봤네요. 지금이라도 10점 줍니다.,10
14334492,사랑할 때 이야기하는 것들,김지수님 아름다워요.. 정말 감동적인 영화!,9
14334491,박수칠 때 떠나라,연기나 음향효과가 좋아서 몰입감도 괜찮다.,7
14334490,인크레더블 2,잭잭 너무 귀여워ㅠㅠ박진감 넘치는 애니메이션,10
14334489,아수라,역시 내 눈은 틀리지 않았음ㅋㅋㅋㅋ,10
14334488,인크레더블 2,지혜롭고 용감한 엄마와 사랑으로 뭉쳐진 가족 히어로는 사실 우리 가족들 얘기죠.,10
14334487,인크레더블 2,아이들보다 엄마아빠가 저 재밌게 본 영화,10
14334485,아수라,진짜잘만들었다  최고다,10
14334484,마녀,배우들 연기력이 굳  십자,8
14334483,세븐 데이즈,여자는 약하지만 엄마는 강하다.,10
14334482,아수라,믿기 싫어 부정하던 현실을 직시하게하는 영화.불편하지만 볼수밖에 없는.,10
14334481,인크레더블 2,저도만두영상 보고 잘못 왔나 했네요더빙은 아니지만 아들도 좋아하고엄마도 잼나다고 크게 웃으면서 봤어요울 가족 모두 즐겁게 잘봤습니다,10
14334479,앤트맨과 와스프,아이들과 함께봤습니다.재미있어요,8
14334478,아수라,실화라서 더 잼이있네요,10
14334477,마녀,여배우가 굉장히 매력적이고 연기를 잘해요,10
14334476,아수라,재평가 해드림 ㅋ 그리고 주지훈 연기 깔끔합니다. 다큐멘터리 잘 봤습니다.,10
14334475,아수라,이 영화는 실화를 바탕으로 만들어졌...,10
14334474,인크레더블 2,옛추억을 떠올리게 만든 인크레더블2 .. 게다가 만두는 감동이었어요...ㅠㅜ,8
14334472,"그날, 바다",오류가 너무 많다 어차피 누군가 나보다 먼저 반박할거고 이것도 잊혀지겠지만,1
14334471,아수라,다시보게만드는명작품 큰그림,10
14334470,아수라,존버 떡상 가즈아~!!!!,10
14334469,인크레더블 2,한순간도 지루할 틈 없는 구성과 캐릭터별 개성을 뚜렷하게 살린 최고의 영화. 3편에선 세계관 최강 잭잭의 성장 기대해봅니다.,10
14334468,인크레더블 2,애들이 몇년을 목빠지게 기다렸는데 대만족이라네요~ㅎ,8
14334467,인크레더블 2,7살아이가 왜이리 빨리끝나냐 하네요 ㅋㅋ재밌어요넘 귀여운 잭잭,10
14334466,인크레더블 2,와우 잼남 시간 가는줄 모름,10
14334465,인크레더블 2,심플한 스토리 같지만 여러 문제의식과 가족애를 느낄 수 있는 영화!! 다시 봐서 너무 반갑고 좋았다?? 특히 일라스티걸 완전 멋짐,10
14334463,빅 식,위트 있고 사려 깊고 반짝거리는 영화,8
14334462,아수라,장르는 그냥 다큐로 해야되지 않나요?,10
14334461,아수라,말이필요없는영화  강추,10
14334460,빅 식,잔잔한 감동이 있네요.,10
14334459,아수라,원래 현실은 지독히도 불편한 법이다.,10
14334458,앤트맨과 와스프,개봉 예정인 어벤져스와 어떻게 이어지게될지 궁금하네요! 재밌게 봤어요!,8
14334456,아수라,하 실화바탕이었구나... 대단한 영화 정말 대단한영화,10
14334455,아수라,역주행 사실입니까~~,10
14334453,인크레더블 2,전편보다 나아진 속편 만족,10
14334452,인크레더블 2,꿀잼! 잭잭 너무 귀여움,10
14334451,아수라,결말이 너무너무 불편해서 두번 다시 보고 싶지 않은 영화지만.. 실화바탕이라는 점에서 10점 드립니다.,10
14334450,탐정: 리턴즈,1편에비해 지루하고 재미도없구만 평점알바들 무섭네,4
14334449,아수라,평점 다시갑니다...,10
14334448,아수라,재평가 ㅎㄷㄷ 다시 봐야겠다,10
14334446,미드나잇 선,더운 여름 날을 보내면서 나에게 큰 여운을 준 영화.. 예상한 결말이었지만 로맨스 영화다운 영화를 본 것 같아서 후회는 없다.,10
14334444,인크레더블 2,아이들과 함께 봐도 잼있는 영화입니다,8
14334443,버닝,원인 모를 불안을 계속 생각하게 된다.,8
14334442,탐정: 리턴즈,별생각없이 봤는데 생각보딘 재밋네요ㅋ,9
14334441,아수라,현실극이었다니.... 감독님 대단하시네요,10
14334440,앤트맨과 와스프,시대되는 시리즈 난마블안좋아하는데 이건좋더라,8
14334439,너와 극장에서,극장에서 생기는 다양한 에피소드를 보며 극장에서의 옛 추억이 생각났다. 멀티플렉스보다는 극장으로!,10
14334438,인크레더블 2,너무 재미있었어요. 8살아이도 엄청 좋아했네요. 제일 재밌ㅤㅇㅗㅆ다고해요.,10
14334437,인크레더블 2,잭잭의 앞날이 기대되므로 3편도 부탁드림다,10
14334436,빅샤크: 매직체인지,엄마인 저는 지루했으나 6세 딸아이는 재밌어하며 잘 봤답니다~~,6
14334435,오 루시!,사랑을 하면 용감해지나 보다...,7
14334434,아수라,다큐를  예능으로 받아들이고 평점 테러한 영알못들에게 참교육 시전중,10
14334433,인크레더블 2,아이랑 재밌게 잘보고 왔어요~~^^,10
14334432,아수라,영화가 아니라 다큐였네,10
14334431,아수라,감독님으 현실고증에 지려버렸습니다ㅋㅋㅋ 하여간 그짝계열 구린건 패시브여,10
14334430,아수라,이게 무슨 실화냐 OO들아.,2
14334429,인크레더블 2,가족이 보기에 참 재미있어요,10
14334428,앤트맨과 와스프,너무 재밌게 봤어요!^^ 좀있으면 3탄도 나올것같아요ㅋ 와스프님 피부가 넘 좋어요~~,10
14334427,마녀,솔직히 기대이상인데요? 씨익~  ^^,10
14334425,속닥속닥,ㅋㅋ안보는게 돈아끼는거,1
14334423,아수라,재발견입니다 참 신기하네요,10
14334422,인크레더블 2,어렸을 때 1편을 보고 대학생이 되서 2편을 봤는데 기다린 14년이 후회가 되지 않는 작품 3도 나왔으면 좋겠다,10
14334421,마녀,마녀2 꼭 나왔으면 좋겠다,10
14334419,레디 플레이어 원,노잼이네요 절대보ㅣ마세요,1
14334415,앤트맨과 와스프,재미와 감동!!!어벤져스가 기대되네요,9
14334414,아수라,정말 깨끗한 정치는 실현불가능한 것일까?,10
14334413,아수라,다큐멘터리영화 최고의 수작,10
14334412,인크레더블 2,만두빼고 재미있게 잘 봤어요,8
14334411,어벤져스: 인피니티 워,나 이거보고 멘붕상태로 집에 갔다 ○○,10
14334410,인크레더블 2,늘애정하는인크레더블2너무재미나게봤어요~~~,10
14334409,아수라,야이 멍청한 감독아.. 장르를 실화로 했어야지 ㅅㅂ그렇게 홍보때렸으면 천만갔겠다...,10
14334408,인크레더블 2,역전 CGV 주자에 주말에 20분이나 늦게도착해서 봤다 ㅠㅠ 그래도 너무 재밌네요.. 앞부분이 중요할텐데 다시 봐야겠음,10
14334407,매트릭스 2 - 리로디드,메세지가 어려워서 1편보다 저평가됨. 1편이 관념으로부터의 해방이었다면 2편은 남녀애욕으로부터의 해방. 이를통해 네오가 진정한 인류구원자로 재탄생되는 중요한 속편. 액션씬은 말할게없고.,9
14334405,인크레더블 2,처음시작하는 단편만화도 기발하고 감동이였어요. 날씨가 더워서 아이들과 오랜만에 극장나들이 간건데 어른이 봐도 짜릿하고 잼있었습니다. 3편도 나왔음 좋겠어요.,10
14334404,인크레더블 2,아이들이 1편보다 조금 지루한 감이 있답니다 하지만 후반부에서는 몰입해서 재밌게 봤답니다,10
14334403,인크레더블 2,2시간이 후딱 지나갔어요~,8
14334402,신은 죽지 않았다 3: 어둠 속의 빛,"God is good ,all the time.",10
14334401,아수라,그동안 무시해서 죄송했습니다. 후속작 도지사편도 기대하겠습니다.,10
14334400,아수라,성지순례입니다ㄷㄷㄷㄷ,10
14334399,마녀,잼있게봐씀 여주 애기같기도 하구 진짜이쁨,6
14334397,마녀,나름 볼만한데 너무 잔인함 15세 영화소재는 아닌듯요;,7
14334396,앤트맨과 와스프,스토리 이어지게 하는 능력은 참 사람 놀라게하네요 가볍고 재밌고 가족적인 앤트맨의 정석을 보여준듯.. 괜찮게 봤습니다.,8
14334395,인크레더블 2,완전 재밌어요!! 아이때문에 보러온건데 제가 더 재밌게 보고 왔네요 ㅋㅋㅋ,10
14334394,마녀,보고왔는데 진짜 왜 재미있는지도 모르겠고오글거리기만 하는 진부한 3류영화임...,1
14334393,아수라,성지순례 왔습니다 대단합니다,10
14334392,인크레더블 2,잭잭 최고....3탄 기다립니다,10
14334391,인크레더블 2,1편의 마지막 장면으로 시작하니 마치 14년 전이 어제였던 것 같은 착각에 잠시나마 빠져들었다.  픽사는 항상 옳다.,7
14334389,아수라,이야....평점 다시매긴다,10
14334387,너와 극장에서,독립영화다운 영화3편~ 엄지손가락을 들긴힘들지만 독립영화의 맛은 충분함~,6
14334386,아수라,아수라는 최고의 폭력영화다!,10
14334385,마녀,또  봄...다시 봐도 잼 있음,10
14334384,봄날은 간다,우리도 누군가의 기억엔 상우였고 은수였다,10
14334383,인크레더블 2,애랑 갔는데 제가 더 재밌게 봤네요 인크레더블 원안ㅤㅂㅏㅆ는데 찾아봐야겠어요 만화인데도 액션 짱이네요!!,8
14334382,속닥속닥,무ㅤㅈㅕㄱㅤㄲㅝㄴ10점입니다~~,10
14334381,인크레더블 2,이거 초등학교 1학년때 1편봤었는데 벌써 22살이네요,10
14334380,사라진 밤,초중반까지는 지루한데 후반 결말가서는 반전에 헉스함. 그거때매 별점 후하게드림요,8
14334379,속닥속닥,캠코더 들고 있는사람 권오중인줄 알았어요,2
14334378,아수라,"아직 확실하지 않습니다,,,",10
14334377,인크레더블 2,시대 흐름을 읽는 인크레더블,10
14334375,인크레더블 2,아이들과 즐겁게 볼수있는 영화,10
14334374,아수라,현실과 극이 분별이 안될 정도로 리얼합니다..안남시,10
14334373,판도라,세상에 어떤 미친 정치인이 쓰레기 삼류영화보고 감명을 받아 탈원전 정책을 펴냐..,1
14334372,아수라,안남  전시장  박성배.... 지금   도지사가   되셨남,10
14334371,인크레더블 2,막내 잭잭이   귀요미   케미,6
14334370,인크레더블 2,어른도 아이도 재미있었어요 ^^,10
14334369,아수라,진짜 현실이 영화보다 더하구만 ㄷㄷㄷ,10
14334368,아수라,재평가 받아야한다. 이재명 이야기,10
14334367,속닥속닥,함부로 클레멘타인을 들먹이지마라.,10
14334366,마녀,연기 너무 소름돋게 잘한다,10
14334365,독전,잼있었어용 부모님이 좋아하심,8
14334364,마녀,화려한 액션!! 여자 주인공 너무 카리스마 있어요!!,8
14334363,아수라,실화를 바탕으로 재구성 하였습니다.,10
14334362,앤트맨과 와스프,정말 재미있어요~^^^,8
14334361,마녀,가볍게보기에 나쁘지않음,8
14334360,박화영,너무좋은영화에요~잊혀지지않을듯,10
14334359,아수라,2016년에 보자마자 이건 성남이고 이재명이구나 알았는데 또한번 소름이네...재개봉 ㄱㄱㄱ,10
14334358,독전,이런 쓰레기 같은 영화...제발좀 제작안되었으면 한다. 머리속에 쓰레기만 가득찬 사람들이 모여서 만든 버리지 같은 영화. 무슨 메세지도 없이 그냥 싸우고 마약하는 저질영화. 관객들만 불쌍한다. 제발 이런 거지같은 영화는 그만 제작해라.,1
14334357,엑스맨: 아포칼립스,신기한것도 반복되면 지루하다,5
14334356,트루 로맨스,너무나 산만한 구성이 토니 스콧 감독 특유의 박력 넘치는 전개를 죽인다. 그래도 토니 스콧 의 장기인 화려한 영상감각이 살아있다.,4
14334355,앤트맨과 와스프,와스프 할머니 곱게 늙었고 타노스 OOO,6
14334354,아수라,아수라 마수라 아타부라,10
14334353,독전,한국영화는 몇몇 감독 작품 외엔 절대 돈 주고 보면 안된다는 사실을 다시금 깨닫게 한 작품.,1
14334351,앤트맨과 와스프,재밌네요  마지막 쿠키영상 꼭 챙겨보시길,10
14334349,마녀,굿 피가많이나오긴하지만,10
14334348,아수라,미쳤다 이게 진짜 실화라고...? 와... 진짜 걷과 속이 완전히 다르구나 세상음,10
14334347,클릭,밝고 코믹스럽게 풀어냈지만 영화가 끝난 후 다시한번 가족과 인생을 되짚어보게 하는 영화,10
14334346,마녀,평점이 낮다. 올리기 위해 10점 준다. 딱 9.0인 영화시나리오도 괜찮고 연기도 괜찮았다 1점은 박사의 목소리와 연기력에 의해 감점,10
14334345,아수라,두 번 봄난 처음에도 꽤 몰입해서 봄역시 현실은 영화 보다 더 해..,10
14334344,마지막 보이 스카웃,"크림슨 타이드,언스토퍼블과 더불어 토니 스콧 감독 최고의 영화. 갠적으로 트루 로맨스보다 훨씬 더 좋다.",10
14334343,아수라,잼있음 재밌어요 재밌어,10
14334342,아수라,최고입니다!!꼭 보세요!,10
14334341,아수라,이건 다큐였다 호구형 왜 다큐라고 말 안했어요ㅠ,10
14334340,데드풀 2,유쾌한 영웅 ~ 시간이 그냥 지나갔어요,10
